es,é
piedra,pedra
blanco,branco
vivo,vivo
ser,ser
corporal,corporal
hombre,homem
animal,animal
tigre,tigre
puma,puma
pantera,pantera
león,leão
leopardo,leopardo
guepardo,chita
lince,lince
mamífero,mamífero
elefante, elefante
jirafa,girafa
rinoceronte,rinoceronte
gato,gato
lobo,lobo
coyote,coiote
ave,pássaro
reptil,réptil
anfibio,anfíbio
pez,peixe
bacteria,bactéria
virus,virus
hongo,fungo
chimpancé,chimpanzé
gorila,gorila
orangután,orangotango
tapir,tapir
primate,primaz
alga,alga
lemur,lémure
águila,águia
tuátara,tuatara
lagarto,lagarto
serpiente,serpente
cocodrilo,crocodilo
todo,todo
algún,algum
felino,felino
correr,correr
cuerpo,corpo
algo,algo
extenso,extenso
mujer,mulher
peludo,peludo
conejo,coelho
mascota,mascote
tarea,tarefa
divertido,engraçado
lectura,leitura
mortal,mortal
Dios,Deus
demonio,demônio
ángel,anjo
Jesús,Jesus
amar,amar
mundo,mundo
Marte,Marte
Tierra,Terra
Saturno,Saturno
Venus,Vênus
silla,cadeira
