es,is
piedra,stone
blanco,white
vivo,alive
ser,being
corporal,corporal
hombre,man
animal,animal
tigre,tiger
puma,cougar
pantera,panther
león,lion
leopardo,leopard
guepardo,chita
lince,lynx
mamífero,mamal
elefante, elephant
jirafa,giraffe
rinoceronte,rhino
gato,cat
lobo,wolf
coyote,coyote
ave,bird
reptil,reptil
anfibio,amphibian
pez,fish
bacteria,bacteria
virus,virus
hongo,fungus
chimpancé,chimpanzee
gorila,gorilla
orangután,orang-outang
tapir,tapir
primate,primata
alga,alga
lemur,lemur
águila,eagle
tuátara,tuatara
lagarto,lizard
serpiente,snake
cocodrilo,crocodile
todo,every
algún,some
felino,feline
correr,run
cuerpo,body
algo,something
extenso,extensive
mujer,woman
peludo,furry
conejo,rabbit
mascota,pet
tarea,homework
divertido,funny
lectura,reading
mortal,mortal
Dios,God
demonio,demon
ángel,angel
Jesús,Jesus
amar,love
mundo,world
Marte,Mars
Tierra,Earth
Saturno,Saturn
Venus,Venus
